TC ID&expectation&bear&User-Agent&Content-Type&productVersion&applicationVersion&deviceFingerprint&oem&modelName&modelNo&os&osVersion&handsetID&iccID&screenHeight&screenWidth&timestamp&timezone&locale&locationCoordinates&longitude&latitude&altitude&messageID&deviceTokenID&applicationInstanceID&applicationID&applicationName&X-USERNAME&walletID&X-USERSTATUS&termsAndConditionsVersion&iamTermsAndConditionsVersion&expected&responseMessage&objective
1&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance1&1927dd34-594e-4cdb-85ea-51958650ccb8&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
2&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance2&454628d3-11e5-42a9-9213-ab9ff54ccdd5&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
3&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance3&76e635bd-1756-4224-91a8-b25348623b75&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
4&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance4&5bef742a-94db-4175-b68c-9b042406e012&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
5&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance5&9d181b09-61a1-4694-a380-99aee7d650b9&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
6&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance6&3e73c80b-d6ec-4e07-91da-7f163f07c537&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
7&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance7&466ad3fd-a5fa-469d-bb05-42dd2e11d309&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
8&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance8&aaf6f92e-2573-44f2-99e4-a1b203ba683c&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
9&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance9&7b0af842-1d1c-4a32-8f29-5bbe63468961&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
10&cycleID&1234567885&SwisscardMobile/1.2.0;iOS/6.0.0;SM-G925F&application/json&1.0&1.0&not null&Samsung&Galaxy ACE&GT S5830&ANDROID&4.2.1&777888-989898&iccid_value&800&800&2017-06-01 10:36:08&GMT-08:00&en_US&not null&0&0&0&1234567890abcdef&1234567890&ch.swisscard.mobile&ch.swisscard.mobile&SwisscardMobile&testperformance10&e7016879-9dd2-4865-8f93-8cbcf3e196cc&STRONG&1.0&1.0&0&Success&user does not exist&&&270000
